"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование снятия депозита (Негативный кейс)","4968","T-009 Попытка снятие невалидной суммы: ""-100""","","Mon Jul 14 15:20:42 GMT 2025","passed","Mon Jul 14 15:20:47 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"","1","CreationTests","","Mon Jul 14 15:21:00 GMT 2025","broken","Mon Jul 14 15:21:00 GMT 2025","","tests.api.CreationTests","tests.api.CreationTests",""
"Тестирование авторизации в личный кабинет менеджера","19286","T-006","","Mon Jul 14 15:20:13 GMT 2025","passed","Mon Jul 14 15:20:32 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование внесения депозита (Негативный кейс)","5425","T-008 Попытка внести невалидную сумму: ""abc""","","Mon Jul 14 15:20:38 GMT 2025","passed","Mon Jul 14 15:20:43 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование выбора аккаунта(счета) клиента","16899","T-010","","Mon Jul 14 15:20:18 GMT 2025","passed","Mon Jul 14 15:20:34 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тестирование снятия депозита (Негативный кейс)","4233","T-009 Попытка снятие невалидной суммы: ""100,50""","","Mon Jul 14 15:20:49 GMT 2025","passed","Mon Jul 14 15:20:53 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","6186","T-009 Попытка снятие невалидной суммы: ""abc""","","Mon Jul 14 15:20:44 GMT 2025","passed","Mon Jul 14 15:20:50 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","4166","T-009 Попытка снятие невалидной суммы: ""#$%""","","Mon Jul 14 15:20:47 GMT 2025","passed","Mon Jul 14 15:20:51 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование авторизации в личный кабинет клиента","4817","T-001","","Mon Jul 14 15:20:39 GMT 2025","passed","Mon Jul 14 15:20:44 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование снятия депозита (Негативный кейс)","5209","T-009 Попытка снятие невалидной суммы: """"","","Mon Jul 14 15:20:41 GMT 2025","passed","Mon Jul 14 15:20:47 GMT 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
