"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","XYZ-Bank","0","Авторизация","2","0","","0"
"0","XYZ-Bank","1","Снятие и внесение депозита","16","0","","0"
"0","Тестирование API тестового полигона","0","Создание автомобиля","1","0","","0"
"0","XYZ-Bank","0","Добавление клиента","1","0","","0"
"0","Тестирование API тестового полигона","0","Создание дома","1","0","","0"
"0","XYZ-Bank","0","Аккаунт клиента","1","0","","0"
"0","XYZ-Bank","0","Транзакции","1","0","","0"
"0","Тестирование API тестового полигона","0","Заселение в дом","1","0","","0"
"0","Тестирование API тестового полигона","0","Создание пользователя","1","0","","0"
"0","Тестирование API тестового полигона","0","Покупка автомобиля","1","0","","0"
