"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование авторизации в личный кабинет клиента","7229","T-001","","Tue Jun 10 18:04:00 UTC 2025","passed","Tue Jun 10 18:04:07 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerLoginTest"
"Тестирование внесения депозита (Негативный кейс)","7669","T-008 Попытка внести невалидную сумму: ""#$%""","","Tue Jun 10 18:03:59 UTC 2025","passed","Tue Jun 10 18:04:06 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","8640","T-009 Попытка снятие невалидной суммы: "" ""","","Tue Jun 10 18:03:54 UTC 2025","passed","Tue Jun 10 18:04:03 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тест работоспособности открытия модального окна снятия депозита","6985","T-003","","Tue Jun 10 18:03:57 UTC 2025","passed","Tue Jun 10 18:04:04 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenWithdrawl"
"Тестирование внесения депозита (Негативный кейс)","6100","T-008 Попытка внести невалидную сумму: "" ""","","Tue Jun 10 18:03:53 UTC 2025","passed","Tue Jun 10 18:03:59 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тест работоспособности перехода на страницу транзакции.","6850","T-005","","Tue Jun 10 18:03:54 UTC 2025","passed","Tue Jun 10 18:04:01 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testNavigationButtonOpenTransactions"
"Тестирование снятия депозита (Негативный кейс)","7341","T-009 Попытка снятие невалидной суммы: ""0""","","Tue Jun 10 18:04:07 UTC 2025","passed","Tue Jun 10 18:04:14 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование выбора аккаунта(счета) клиента","7021","T-010","","Tue Jun 10 18:03:53 UTC 2025","passed","Tue Jun 10 18:04:00 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","selectAccountTest"
"Тестирование авторизации в личный кабинет менеджера","4403","T-006","","Tue Jun 10 18:03:53 UTC 2025","passed","Tue Jun 10 18:03:57 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testManagerLogin"
"Тестирование снятия депозита (Негативный кейс)","9401","T-009 Попытка снятие невалидной суммы: ""-100""","","Tue Jun 10 18:04:01 UTC 2025","passed","Tue Jun 10 18:04:10 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование добавления клиента в личном кабинете менеджера","8139","T-007","","Tue Jun 10 18:03:58 UTC 2025","passed","Tue Jun 10 18:04:07 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","testAddNewCustomer"
"Тестирование внесения депозита (Негативный кейс)","9908","T-008 Попытка внести невалидную сумму: ""100,50""","","Tue Jun 10 18:04:10 UTC 2025","failed","Tue Jun 10 18:04:20 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
"Тестирование снятия и внесения депозита","24891","T-004","","Tue Jun 10 18:03:54 UTC 2025","broken","Tue Jun 10 18:04:19 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositWithdrawlTest"
"Тестирование снятия депозита (Негативный кейс)","9630","T-009 Попытка снятие невалидной суммы: """"","","Tue Jun 10 18:04:08 UTC 2025","passed","Tue Jun 10 18:04:17 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование снятия депозита (Негативный кейс)","7538","T-009 Попытка снятие невалидной суммы: ""abc""","","Tue Jun 10 18:04:07 UTC 2025","passed","Tue Jun 10 18:04:14 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerWithdrawlInvalidAmountTest"
"Тестирование внесения депозита (Негативный кейс)","7743","T-008 Попытка внести невалидную сумму: ""abc""","","Tue Jun 10 18:04:03 UTC 2025","passed","Tue Jun 10 18:04:10 UTC 2025","","xyzui.CustomerTest","xyzui.CustomerTest","customerDepositInvalidAmountTest"
